ID_participant,cog_load,animal,tail,covered,resolution,att_resp.corr,att_resp.rt,first_procedure,gender,age,vosi_object,vosi_spatial,exp_model,exp_photo,exp_math,exp_experiment
003,0,Zebra,Long,Left,medium,1,1.2284612,ATT,f,23,66,53,1,4,5,1
004,0,Giraffe,Long,Left,low,0,2.1635048,ATT,f,20,45,28,1,3,5,0
004,0,Camel,Short,Right,low,1,0.9524677,ATT,f,20,45,28,1,3,5,0
004,0,Tiger,Long,Right,high,1,1.3605214,ATT,f,20,45,28,1,3,5,0
004,0,Camel,Short,Right,high,1,0.7072892,ATT,f,20,45,28,1,3,5,0
004,0,Panda,Short,Left,low,1,0.9840685,ATT,f,20,45,28,1,3,5,0
004,0,Jaguar,Long,Left,low,0,0.8660621,ATT,f,20,45,28,1,3,5,0
004,0,Giraffe,Long,Left,medium,1,0.749803,ATT,f,20,45,28,1,3,5,0
004,0,Lamb,Short,Right,medium,1,1.0486062,ATT,f,20,45,28,1,3,5,0
004,0,Tiger,Long,Right,low,1,0.8327717,ATT,f,20,45,28,1,3,5,0
004,0,Mole,Short,Right,medium,0,0.8922829,ATT,f,20,45,28,1,3,5,0
004,0,Zebra,Long,Left,high,1,0.82871,ATT,f,20,45,28,1,3,5,0
004,0,Camel,Short,Right,medium,1,0.7611906,ATT,f,20,45,28,1,3,5,0
004,0,Sheep,Short,Right,low,1,2.5180618,ATT,f,20,45,28,1,3,5,0
004,0,Deer,Short,Left,low,0,1.7518565,ATT,f,20,45,28,1,3,5,0
004,0,Goat,Short,Left,low,0,1.2899195,ATT,f,20,45,28,1,3,5,0
004,0,Rhino,Short,Left,high,1,1.0482613,ATT,f,20,45,28,1,3,5,0
004,0,Rhino,Short,Left,low,1,0.8821235,ATT,f,20,45,28,1,3,5,0
004,0,Jaguar,Long,Left,medium,1,0.798786,ATT,f,20,45,28,1,3,5,0
004,0,Gazelle,Short,Right,medium,1,0.8155431,ATT,f,20,45,28,1,3,5,0
004,0,Rhino,Short,Left,medium,1,0.6560536,ATT,f,20,45,28,1,3,5,0
004,0,Hippo,Short,Left,low,1,0.7455264,ATT,f,20,45,28,1,3,5,0
004,0,Fox,Long,Right,high,1,1.1594995,ATT,f,20,45,28,1,3,5,0
004,0,Bear,Short,Left,medium,1,0.7208551,ATT,f,20,45,28,1,3,5,0
004,0,Lion,Long,Right,high,1,1.4410692,ATT,f,20,45,28,1,3,5,0
004,0,Sheep,Short,Right,medium,1,1.0063698,ATT,f,20,45,28,1,3,5,0
004,0,Lamb,Short,Right,low,1,0.8896322,ATT,f,20,45,28,1,3,5,0
004,0,Lamb,Short,Right,high,1,0.6530523,ATT,f,20,45,28,1,3,5,0
004,0,Giraffe,Long,Left,high,0,0.7832218,ATT,f,20,45,28,1,3,5,0
004,0,Panda,Short,Left,high,1,0.9529593,ATT,f,20,45,28,1,3,5,0
004,0,Goat,Short,Left,high,0,0.8930685,ATT,f,20,45,28,1,3,5,0
004,0,Sheep,Short,Right,high,0,0.7574327,ATT,f,20,45,28,1,3,5,0
004,0,Gazelle,Short,Right,low,1,0.7715996,ATT,f,20,45,28,1,3,5,0
004,0,Pig,Short,Right,medium,1,1.6153582,ATT,f,20,45,28,1,3,5,0
004,0,Pig,Short,Right,low,1,0.5867739,ATT,f,20,45,28,1,3,5,0
004,0,Crow,Long,Left,low,0,1.9408469,ATT,f,20,45,28,1,3,5,0
004,0,Hippo,Short,Left,high,1,0.9969229,ATT,f,20,45,28,1,3,5,0
004,0,Fox,Long,Right,low,1,0.6247651,ATT,f,20,45,28,1,3,5,0
004,0,Monkey,Long,Left,medium,1,0.9471453,ATT,f,20,45,28,1,3,5,0
004,0,Chameleon,Long,Right,medium,1,0.8515551,ATT,f,20,45,28,1,3,5,0
004,0,Bull,Long,Left,medium,1,1.1285776,ATT,f,20,45,28,1,3,5,0
004,0,Zebra,Long,Left,medium,1,0.6352513,ATT,f,20,45,28,1,3,5,0
004,0,Tiger,Long,Right,medium,1,0.6700439,ATT,f,20,45,28,1,3,5,0
